Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00247901953772472,-7.72684605193641E-06,-0.0100192436380275,0,0,0,1.38302095239097,0.00172933115832834,-9.10846177365511E-09,7.65352924875858E-16,0.00128903116695102,-1.46644968679531E-16,0.00281036572892894,0,0,0,0,0,0,package://export5_URDF/meshes/base_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://export5_URDF/meshes/base_link.STL,,link4-3;link3-3;link4-4;link1-7;2020 Corner Bracket v1-8;2020 Corner Bracket v1-5;link_sup-2;2020 Corner Bracket v1-6;PF20-11 - Perfil 2020 v-slot-3;2020 Corner Bracket v1-1;2020 Corner Bracket v1-4;2020 Corner Bracket v1-2;link_f-3;sup3-1;sup3-2;link1-8;JGB_bracket-3;JGB_bracket-2;Motor JGB37-545-5/Motor JGB37-545(2)-1/Reduction box body-1;Motor JGB37-545-5/Motor JGB37-545(2)-1/Motor body_Predeterminado-1;Motor JGB37-545-5/Motor JGB37-545(2)-1/Cover_Predeterminado-1;Motor JGB37-545-5/Motor JGB37-545(2)-1/Rotor_Predeterminado-1;Motor JGB37-545-5/Motor JGB37-545(2)-1/Terminals-1;Motor JGB37-545-6/Motor JGB37-545(2)-1/Terminals-1;Motor JGB37-545-6/Motor JGB37-545(2)-1/Rotor_Predeterminado-1;Motor JGB37-545-6/Motor JGB37-545(2)-1/Cover_Predeterminado-1;Motor JGB37-545-6/Motor JGB37-545(2)-1/Motor body_Predeterminado-1;Motor JGB37-545-6/Motor JGB37-545(2)-1/Reduction box body-1;JGB_bracket-4;Motor JGB37-545-8/Motor JGB37-545(2)-1/Reduction box body-1;Motor JGB37-545-8/Motor JGB37-545(2)-1/Motor body_Predeterminado-1;Motor JGB37-545-8/Motor JGB37-545(2)-1/Cover_Predeterminado-1;Motor JGB37-545-8/Motor JGB37-545(2)-1/Rotor_Predeterminado-1;Motor JGB37-545-8/Motor JGB37-545(2)-1/Terminals-1;Motor JGB37-545-7/Motor JGB37-545(2)-1/Reduction box body-1;Motor JGB37-545-7/Motor JGB37-545(2)-1/Motor body_Predeterminado-1;Motor JGB37-545-7/Motor JGB37-545(2)-1/Cover_Predeterminado-1;Motor JGB37-545-7/Motor JGB37-545(2)-1/Rotor_Predeterminado-1;Motor JGB37-545-7/Motor JGB37-545(2)-1/Terminals-1;JGB_bracket-1;link_sup-3;PF20-11 - Perfil 2020 v-slot-5;2020 Corner Bracket v1-10;2020 Corner Bracket v1-9;2020 Corner Bracket v1-11;link_f-2;2020 Corner Bracket v1-12,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,0.00577544245185513,0.000608180456644292,-0.0195616906884153,0,0,0,0.142994095653187,4.62767161181515E-05,-8.53572518984279E-07,3.62184026396535E-06,7.34746440088867E-05,-2.04304178805651E-07,0.000107960183716792,0,0,0,0,0,0,package://export5_URDF/meshes/lidar_link.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://export5_URDF/meshes/lidar_link.STL,,RPLidar_SCTL-1,lidar_link,lidar_axis,lidar_joint,fixed,-0.0031638,-0.00011308,0.044,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rf_hip_link,0.0511054670163394,-0.00640917768004473,-0.00656360453138677,0,0,0,0.300997066732491,0.00010684588163136,1.08806377383141E-09,8.90083581989902E-09,0.000249480012816438,1.34842317361947E-05,0.000243506037107833,0,0,0,0,0,0,package://export5_URDF/meshes/rf_hip_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://export5_URDF/meshes/rf_hip_link.STL,,leg_r-2/Part_vip-1;Motor JGB37-545-6/Motor JGB37-545(2)-1/Shaft_Predeterminado-1;KNDC-18;leg_r-2/JGB_bracket-1;leg_r-2/JGB_bracket-2;KNDC-20;10_19_5bearing-1;leg_r-2/Motor JGB37-545-1/Motor JGB37-545(2)-1/Reduction box body-1;leg_r-2/Motor JGB37-545-1/Motor JGB37-545(2)-1/Cover_Predeterminado-1;leg_r-2/Motor JGB37-545-1/Motor JGB37-545(2)-1/Motor body_Predeterminado-1;leg_r-2/Motor JGB37-545-2/Motor JGB37-545(2)-1/Reduction box body-1;leg_r-2/Motor JGB37-545-2/Motor JGB37-545(2)-1/Cover_Predeterminado-1;leg_r-2/Motor JGB37-545-2/Motor JGB37-545(2)-1/Motor body_Predeterminado-1;leg_r-2/Motor JGB37-545-2/Motor JGB37-545(2)-1/Terminals-1;leg_r-2/Motor JGB37-545-2/Motor JGB37-545(2)-1/Rotor_Predeterminado-1;leg_r-2/Motor JGB37-545-1/Motor JGB37-545(2)-1/Terminals-1;leg_r-2/Motor JGB37-545-1/Motor JGB37-545(2)-1/Rotor_Predeterminado-1,rf_hip_link,rf_hip_axis,rf_hip_joint,revolute,0.1325,-0.07989,-0.029298,0,0,0,base_link,-1,0,0,5,10,-3.14,3.14,,,,,,,,
rf_h_upper_link,-0.0668128326099894,-0.000201076465554229,-0.0492390564779382,0,0,0,0.108446459752499,4.55350835364376E-05,-9.11870718885065E-07,-5.53553247981242E-05,0.000129422913083595,-7.2935535177326E-07,8.5181340447565E-05,0,0,0,0,0,0,package://export5_URDF/meshes/rf_h_upper_link.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://export5_URDF/meshes/rf_h_upper_link.STL,,leg_r-2/Motor JGB37-545-1/Motor JGB37-545(2)-1/Shaft_Predeterminado-1;leg_r-2/KNDC-1;leg_r-2/leg1_vip-1;leg_r-2/motor_adaptor v3-1;leg_r-2/leg_keeper_v-1;leg_r-2/10_30_9_bearing-1;leg_r-2/10_30_9_bearing-2;leg_r-2/sup_vip-1,rf_h_upper_link,rf_h_upper_axis,rf_h_upper_joint,revolute,0.027,-0.054174,0.014192,0,0,0,rf_hip_link,0,-0.99986,0.016471,5,10,-3.14,3.14,,,,,,,,
rf_lower_link,0.056017,0.0023415,0.053896,0,0,0,0.11781,0.00010723,-1.1757E-07,-7.1377E-06,0.00021298,-1.7538E-06,0.00010657,0,0,0,0,0,0,package://export5_URDF/meshes/rf_lower_link.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://export5_URDF/meshes/rf_lower_link.STL,,leg_r-2/leg2_vip-1;leg_r-2/leg4vip-1;leg_r-2/bearing3x9x3-2;leg_r-2/bearing3x9x3-1;leg_r-2/leg3_vip-1;leg_r-2/motor_adaptor v3-2;leg_r-2/KNDC-2;leg_r-2/Motor JGB37-545-2/Motor JGB37-545(2)-1/Shaft_Predeterminado-1;leg_r-2/bearing3x9x3-3,rf_lower_leg_link,rf_lower_leg_axis,rf_lower_joint,revolute,-0.070415,-0.0044887,-0.14499,0,0,0,rf_h_upper_link,0,-0.99986,0.016471,5,10,-3.14,3.14,,,,,,,,
rf_foot_link,-0.0037487,0.000142,0.0086209,0,0,0,0.038335,1.0486E-05,4.7236E-08,2.8672E-06,1.4027E-05,-1.3594E-07,5.777E-06,0,0,0,0,0,0,package://export5_URDF/meshes/rf_foot_link.STL,0.84314,0.81569,0.75294,1,0,0,0,0,0,0,package://export5_URDF/meshes/rf_foot_link.STL,,leg_r-2/feet-2,rf_foot_link,rf_foot_axis,rf_foot_joint,fixed,0.046334,-0.0041833,-0.077876,0,0,0,rf_lower_link,0,0,0,,,,,,,,,,,,
rh_hip_link,-0.05110672759095,-0.00625664363822043,-0.00670914973811432,0,0,0,0.300997066909679,0.000106845881604468,8.75145779679015E-10,9.63300331451179E-09,0.00024885960696754,1.36117389788136E-05,0.000244126442943632,0,0,0,0,0,0,package://export5_URDF/meshes/rh_hip_link.STL,0.266666666666667,0.266666666666667,0.266666666666667,1,0,0,0,0,0,0,package://export5_URDF/meshes/rh_hip_link.STL,,KNDC-12;Motor JGB37-545-5/Motor JGB37-545(2)-1/Shaft_Predeterminado-1;leg_r-1/Part_vip-1;leg_r-1/JGB_bracket-2;leg_r-1/Motor JGB37-545-2/Motor JGB37-545(2)-1/Reduction box body-1;leg_r-1/Motor JGB37-545-2/Motor JGB37-545(2)-1/Cover_Predeterminado-1;leg_r-1/Motor JGB37-545-2/Motor JGB37-545(2)-1/Motor body_Predeterminado-1;leg_r-1/Motor JGB37-545-1/Motor JGB37-545(2)-1/Reduction box body-1;leg_r-1/Motor JGB37-545-1/Motor JGB37-545(2)-1/Cover_Predeterminado-1;leg_r-1/Motor JGB37-545-1/Motor JGB37-545(2)-1/Motor body_Predeterminado-1;KNDC-22;10_19_5bearing-4;leg_r-1/Motor JGB37-545-1/Motor JGB37-545(2)-1/Rotor_Predeterminado-1;leg_r-1/Motor JGB37-545-1/Motor JGB37-545(2)-1/Terminals-1;leg_r-1/Motor JGB37-545-2/Motor JGB37-545(2)-1/Terminals-1;leg_r-1/Motor JGB37-545-2/Motor JGB37-545(2)-1/Rotor_Predeterminado-1;leg_r-1/JGB_bracket-1,rh_hip_link,rh_hip_axis,rh_hip_joint,revolute,-0.1325,-0.07989,-0.029298,0,0,0,base_link,-1,0,0,5,10,-3.14,3.14,,,,,,,,
rh_h_upper_link,-0.0668128321368547,0.000930459071025569,-0.0492306746282527,0,0,0,0.108446460508965,4.55350835382334E-05,3.6040038273224E-07,-5.53616618595437E-05,0.000129433062665089,2.87789798758398E-07,8.51711908871302E-05,0,0,0,0,0,0,package://export5_URDF/meshes/rh_h_upper_link.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://export5_URDF/meshes/rh_h_upper_link.STL,,leg_r-1/Motor JGB37-545-1/Motor JGB37-545(2)-1/Shaft_Predeterminado-1;leg_r-1/KNDC-1;leg_r-1/leg1_vip-1;leg_r-1/motor_adaptor v3-1;leg_r-1/sup_vip-1;leg_r-1/leg_keeper_v-1;leg_r-1/10_30_9_bearing-2;leg_r-1/10_30_9_bearing-1,rh_h_upper_link,rh_h_upper_axis,rh_h_upper_joint,revolute,-0.072,-0.054485,0.012943,0,0,0,rh_hip_link,0,-0.99998,-0.0065096,5,10,-3.14,3.14,,,,,,,,
rh_lower_link,0.0560170206860614,0.0011023555920589,0.0539357041301582,0,0,0,0.117810135921722,0.000107230602962527,4.64807153561257E-08,-7.13851571083036E-06,0.000213006933683945,6.9269327687283E-07,0.00010654795619169,0,0,0,0,0,0,package://export5_URDF/meshes/rh_lower_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://export5_URDF/meshes/rh_lower_link.STL,,leg_r-1/leg2_vip-1;leg_r-1/bearing3x9x3-2;leg_r-1/motor_adaptor v3-2;leg_r-1/leg3_vip-1;leg_r-1/bearing3x9x3-1;leg_r-1/leg4vip-1;leg_r-1/KNDC-2;leg_r-1/Motor JGB37-545-2/Motor JGB37-545(2)-1/Shaft_Predeterminado-1;leg_r-1/bearing3x9x3-3,rh_lower_leg_link,rh_lower_leg_axis,rh_lower_joint,revolute,-0.070415,-0.0011558,-0.14505,0,0,0,rh_h_upper_link,0,0.99998,0.0065096,5,10,-3.14,3.14,,,,,,,,
rh_foot_link,-0.00374869468568095,-5.61344255122775E-05,0.00862184018063239,0,0,0,0.0383346011874611,1.04864883148301E-05,-1.86624067397946E-08,2.86749584033282E-06,1.40291004399198E-05,5.37409927361689E-08,5.77509132612842E-06,0,0,0,0,0,0,package://export5_URDF/meshes/rh_foot_link.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://export5_URDF/meshes/rh_foot_link.STL,,leg_r-1/feet-2,rh_foot_link,rh_foot_axis,rh_foot_joint,fixed,0.046334,-0.0023926,-0.077951,0,0,0,rh_lower_link,0,0,0,,,,,,,,,,,,
